"filename", "language", "JavaScript", "CSS", "XML", "Excel", "JSON", "comment", "blank", "total"
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\Slider.module.css", "CSS", 0, 5, 0, 0, 0, 0, 3, 8
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\Table\Table.js", "JavaScript", 33, 0, 0, 0, 0, 0, 3, 36
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\GraphConfig\GraphConfig.js", "JavaScript", 97, 0, 0, 0, 0, 1, 4, 102
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\GraphConfig\GraphConfig.module.css", "CSS", 0, 13, 0, 0, 0, 0, 1, 14
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\Input\Input.js", "JavaScript", 24, 0, 0, 0, 0, 0, 7, 31
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\InteractiveTextBox\InteractiveTextBox.js", "JavaScript", 11, 0, 0, 0, 0, 0, 6, 17
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\InteractiveTextBox\InteractiveTextBox.module.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\Logo\Logo.js", "JavaScript", 9, 0, 0, 0, 0, 0, 4, 13
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\Logo\Logo.module.css", "CSS", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\MESandMFCPics\MESPic\MESPic.js", "JavaScript", 16, 0, 0, 0, 0, 0, 6, 22
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\MESandMFCPics\MESPic\MESPic.module.css", "CSS", 0, 18, 0, 0, 0, 0, 8, 26
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\MESandMFCPics\MFCPic\MFCPic.js", "JavaScript", 9, 0, 0, 0, 0, 0, 5, 14
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\MESandMFCPics\MFCPic\MFCPic.module.css", "CSS", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\Math\MyMathQuill.js", "JavaScript", 19, 0, 0, 0, 0, 2, 7, 28
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\MyErrorMessage\MyErrorMessage.js", "JavaScript", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\MyHeatMap\MyHeatMap.js", "JavaScript", 26, 0, 0, 0, 0, 49, 14, 89
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\MyTabs\MyTabs.js", "JavaScript", 25, 0, 0, 0, 0, 0, 6, 31
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\Paper\Paper.js", "JavaScript", 22, 0, 0, 0, 0, 0, 4, 26
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\SliderContainer\SliderContainer.js", "JavaScript", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\SliderContainer\SliderContainer.module.css", "CSS", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\SliderContainer\Slider\SliderWithText.js", "JavaScript", 59, 0, 0, 0, 0, 0, 9, 68
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\About\About.js", "JavaScript", 28, 0, 0, 0, 0, 0, 2, 30
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\About\About.module.css", "CSS", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Contact\Contact.js", "JavaScript", 25, 0, 0, 0, 0, 0, 5, 30
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Lab\Dynamic.js", "JavaScript", 25, 0, 0, 0, 0, 5, 4, 34
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Lab\Dynamic.module.css", "CSS", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Lab\LinearCoupled\LinearCoupled.js", "JavaScript", 397, 0, 0, 0, 0, 74, 61, 532
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Lab\LinearCoupled\LinearCoupled.module.css", "CSS", 0, 30, 0, 0, 0, 0, 7, 37
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Lab\SingleODE\SingleODE.js", "JavaScript", 138, 0, 0, 0, 0, 9, 21, 168
